Category	Chromosome	Loci Start	Loci End	Gene ID	Gene Symbol	Strand	Distance to TSS	Description	Conservation Score	Fractional Overlaping
Upstream	chr7	004811613	004813636	uc009eyt.1	Ube2s	-	-0284	Mus musculus ubiquitin-conjugating enzyme E2S (Ube2s), mRNA.	NA	NA
Upstream	chr7	004865284	004867130	uc009eyw.1	Isoc2b	-	-0028	Mus musculus isochorismatase domain containing 2b (Isoc2b), mRNA.	NA	NA
Upstream	chr7	004875800	004878061	uc012ewz.1	Isoc2a	+	-0122	Mus musculus isochorismatase domain containing 2a (Isoc2a), nuclear gene encoding mitochondrial protein, mRNA.	NA	NA
Intron	chr7	004914691	004916151	uc009eyx.1	Zfp628	+	+0205	Mus musculus zinc finger protein 628 (Zfp628), mRNA.	NA	NA
Exon/CD	chr7	004943521	004943774	uc009eza.1	Ssc5d	+	+17804	Mus musculus scavenger receptor cysteine rich domain containing (5 domains) (Ssc5d), mRNA.	NA	NA
Upstream	chr7	005014286	005016356	uc009ezj.1	Zfp524	+	-0186	Mus musculus zinc finger protein 524 (Zfp524), mRNA.	NA	NA
5'UTR	chr7	005019648	005021340	uc009ezk.1	Zfp865	+	+0119	Mus musculus zinc finger protein 865 (Zfp865), mRNA.	NA	NA
Upstream	chr7	005038098	005039109	uc009ezn.2	Zfp784	-	-0157	Mus musculus zinc finger protein 784 (Zfp784), mRNA.	NA	NA
5'UTR	chr7	005051455	005051682	uc009ezp.2	Zfp580	+	+0037	Mus musculus zinc finger protein 580 (Zfp580), mRNA.	NA	NA
Upstream	chr7	005060488	005063206	uc009ezt.3	U2af2	+	-0295	Mus musculus U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 2 (U2af2), transcript variant 2, mRNA.	NA	NA
Intron	chr7	005079836	005081743	uc009ezx.2	Epn1	+	+0555	Mus musculus epsin 1 (Epn1), transcript variant 1, mRNA.	NA	NA
Intron	chr7	005083026	005084259	uc009ezx.2	Epn1	+	+3408	Mus musculus epsin 1 (Epn1), transcript variant 1, mRNA.	NA	NA
Intron	chr7	005087064	005088715	uc009ezx.2	Epn1	+	+7655	Mus musculus epsin 1 (Epn1), transcript variant 1, mRNA.	NA	NA
Intron	chr7	005089295	005089797	uc009ezx.2	Epn1	+	+9312	Mus musculus epsin 1 (Epn1), transcript variant 1, mRNA.	NA	NA
Intron	chr7	005090217	005092633	uc009ezx.2	Epn1	+	+11191	Mus musculus epsin 1 (Epn1), transcript variant 1, mRNA.	NA	NA
Exon/CD	chr7	005125364	005125930	uc009fac.1	Rasl2-9	-	+0303	Mus musculus RAS-like, family 2, locus 9 (Rasl2-9), mRNA.	NA	NA
Intron	chr7	006151036	006152530	uc009fap.1	Zfp787	-	+4188	Mus musculus zinc finger protein 787 (Zfp787), mRNA.	NA	NA
Intron	chr7	006152951	006153670	uc009fap.1	Zfp787	-	+2661	Mus musculus zinc finger protein 787 (Zfp787), mRNA.	NA	NA
5'UTR	chr7	006154033	006157817	uc009fap.1	Zfp787	-	+0046	Mus musculus zinc finger protein 787 (Zfp787), mRNA.	NA	NA
Upstream	chr7	006168962	006170650	uc009fas.2	Zfp444	+	-2675	Mus musculus zinc finger protein 444 (Zfp444), transcript variant 1, mRNA.	NA	NA
Upstream	chr7	006170951	006173868	uc009fas.2	Zfp444	+	-0072	Mus musculus zinc finger protein 444 (Zfp444), transcript variant 1, mRNA.	NA	NA
Intron	chr7	006174422	006175463	uc009fas.2	Zfp444	+	+2461	Mus musculus zinc finger protein 444 (Zfp444), transcript variant 1, mRNA.	NA	NA
Intron	chr7	006254590	006255457	uc029wdj.1	Gm6792	+	+2314	Mus musculus predicted gene 6792 (Gm6792), transcript variant 1, mRNA.	NA	NA
Upstream	chr7	006286042	006286641	uc009fbb.1	Zfp667	+	-0238	Mus musculus zinc finger protein 667 (Zfp667), mRNA.	NA	NA
5'UTR	chr7	006363064	006363622	uc009fbf.1	Zfp78	+	+0036	Mus musculus zinc finger protein 78 (Zfp78), transcript variant 1, mRNA.	NA	NA
Intron	chr7	006727618	006728400	uc009fbw.1	Peg3	-	+2410	Mus musculus paternally expressed 3 (Peg3), mRNA.	NA	NA
Intron	chr7	006728958	006730306	uc009fbw.1	Peg3	-	+0787	Mus musculus paternally expressed 3 (Peg3), mRNA.	NA	NA
Intron	chr7	006770072	006771318	uc009fcb.1	Usp29	+	+39955	Mus musculus ubiquitin specific peptidase 29 (Usp29), mRNA.	NA	NA
5'UTR	chr7	007121089	007121836	uc012exo.1	Zfp954	-	+0014	Mus musculus zinc finger protein 954 (Zfp954), mRNA.	NA	NA
Intron	chr7	007171333	007172225	uc009fck.1	Zfp418	+	+0427	Mus musculus zinc finger protein 418 (Zfp418), mRNA.	NA	NA
Upstream	chr7	012422254	012422773	uc009fea.3	Zfp551	-	-0022	Mus musculus zinc fingr protein 551 (Zfp551), mRNA.	NA	NA
5'UTR	chr7	012478265	012478888	uc009fec.2	Zfp606	+	+0272	Mus musculus zinc finger protein 606 (Zfp606), transcript variant 1, mRNA.	NA	NA
Intron	chr7	012818506	012818880	uc009feh.2	Zfp329	-	+0167	Mus musculus zinc finger protein 329 (Zfp329), mRNA.	NA	NA
5'UTR	chr7	012834100	012835732	uc009fej.2	Zfp110	+	+0107	Mus musculus zinc finger protein 110 (Zfp110), mRNA.	NA	NA
Intron	chr7	012881158	012881743	uc009fek.2	Zfp128	+	+0273	Mus musculus zinc finger protein 128 (Zfp128), mRNA.	NA	NA
Intron	chr7	012897839	012898310	uc009fel.1	Zscan22	+	+0260	Mus musculus zinc finger and SCAN domain containing 22 (Zscan22), mRNA.	NA	NA
Upstream	chr7	012919931	012923047	uc009fep.2	Rps5	+	-0821	Mus musculus ribosomal protein S5 (Rps5), mRNA.	NA	NA
Upstream	chr7	012919931	012923047	uc009fep.2	Rps5	+	-0821	Mus musculus ribosomal protein S5 (Rps5), mRNA.	NA	NA
3'UTR	chr7	012929268	012930580	uc009feq.1	2310014L17Rik	+	+2509	Mus musculus RIKEN cDNA 2310014L17 gene (2310014L17Rik), mRNA.	NA	NA
Upstream	chr7	012961339	012962416	uc009fer.1	Zfp324	+	-3986	Mus musculus zinc finger protein 324 (Zfp324), mRNA.	NA	NA
Intron	chr7	012965364	012967342	uc009fer.1	Zfp324	+	+0490	Mus musculus zinc finger protein 324 (Zfp324), mRNA.	NA	NA
Exon/CD	chr7	012977449	012980687	uc009feu.2	Zfp446	+	+1221	Mus musculus zinc finger protein 446 (Zfp446), transcript variant 1, mRNA.	NA	NA
3'UTR	chr7	012982554	012983927	uc009feu.2	Zfp446	+	+5393	Mus musculus zinc finger protein 446 (Zfp446), transcript variant 1, mRNA.	NA	NA
Intron	chr7	012992581	012993675	uc009fey.3	Slc27a5	-	+5064	Mus musculus solute carrier family 27 (fatty acid transporter), member 5 (Slc27a5), mRNA.	NA	NA
Upstream	chr7	012995582	013002823	uc009fey.3	Slc27a5	-	-1010	Mus musculus solute carrier family 27 (fatty acid transporter), member 5 (Slc27a5), mRNA.	NA	NA
Upstream	chr7	013009052	013010859	uc009ffa.1	Zbtb45	-	-0125	Mus musculus zinc finger and BTB domain containing 45 (Zbtb45), mRNA.	NA	NA
Upstream	chr7	013013348	013014354	uc009ffa.1	Zbtb45	-	-4021	Mus musculus zinc finger and BTB domain containing 45 (Zbtb45), mRNA.	NA	NA
5'UTR	chr7	013023335	013025349	uc009ffb.2	Trim28	+	+0191	Mus musculus tripartite motif-containing 28 (Trim28), mRNA.	NA	NA
Intron	chr7	013033868	013035360	uc009ffc.2	Chmp2a	-	+0163	Mus musculus charged multivesicular body protein 2A (Chmp2a), mRNA.	NA	NA
Intron	chr7	013036678	013039187	uc012ezf.2	Ube2m	-	+0343	Mus musculus ubiquitin-conjugating enzyme E2M (Ube2m), transcript variant 2, mRNA.	NA	NA
Intron	chr7	013054012	013054714	uc009fff.2	Mzf1	-	+0401	Mus musculus myeloid zinc finger 1 (Mzf1), mRNA.	NA	NA
Intron	chr7	013278187	013278816	uc012ezl.1	Lig1	+	+1189	Mus musculus ligase I, DNA, ATP-dependent (Lig1), transcript variant 3, mRNA.	NA	NA
Intron	chr7	014435842	014436212	uc009fgc.2	2810007J24Rik	-	+10560	Mus musculus RIKEN cDNA 2810007J24 gene (2810007J24Rik), transcript variant 1, mRNA.	NA	NA
Intron	chr7	014436934	014440540	uc009fgc.2	2810007J24Rik	-	+7850	Mus musculus RIKEN cDNA 2810007J24 gene (2810007J24Rik), transcript variant 1, mRNA.	NA	NA
Intron	chr7	014442801	014443178	uc009fgc.2	2810007J24Rik	-	+3598	Mus musculus RIKEN cDNA 2810007J24 gene (2810007J24Rik), transcript variant 1, mRNA.	NA	NA
Downstream	chr7	014529874	014530631	uc012ezw.1	Gm18756	-	+92226	Mus musculus predicted gene, 18756 (Gm18756), transcript variant 2, non-coding RNA.	NA	NA
3'UTR	chr7	015917343	015917646	uc009fgp.1	Sepw1	-	+4877	Mus musculus selenoprotein W, muscle 1 (Sepw1), mRNA.	NA	NA
5'UTR	chr7	015921607	015923031	uc009fgp.1	Sepw1	-	+0052	Mus musculus selenoprotein W, muscle 1 (Sepw1), mRNA.	NA	NA
Exon/CD	chr7	015945423	015946575	uc009fgr.2	Gltscr2	-	+0109	Mus musculus glioma tumor suppressor candidate region gene 2 (Gltscr2), mRNA.	NA	NA
Downstream	chr7	015948032	015949089	uc009fgt.1	Ehd2	-	+18975	Mus musculus EH-domain containing 2 (Ehd2), mRNA.	NA	NA
Intron	chr7	015980727	015982264	uc009fgu.1	Gltscr1	-	+18000	Mus musculus glioma tumor suppressor candidate region gene 1 (Gltscr1), mRNA.	NA	NA
Intron	chr7	016098577	016099282	uc009fgw.1	Napa	+	+0287	Mus musculus N-ethylmaleimide sensitive fusion protein attachment protein alpha (Napa), mRNA.	NA	NA
Exon/CD	chr7	016119578	016120459	uc009fgy.2	Kptn	+	+0143	Mus musculus kaptin (Kptn), mRNA.	NA	NA
Intron	chr7	016221465	016222486	uc009fhj.1	Dhx34	-	+0057	Mus musculus DEAH (Asp-Glu-Ala-His) box polypeptide 34 (Dhx34), mRNA.	NA	NA
Intron	chr7	016239447	016240303	uc009fhk.2	Gpr77	-	+4279	Mus musculus G protein-coupled receptor 77 (Gpr77), transcript variant 1, mRNA.	NA	NA
Intron	chr7	016241658	016242594	uc009fhk.2	Gpr77	-	+2028	Mus musculus G protein-coupled receptor 77 (Gpr77), transcript variant 1, mRNA.	NA	NA
Intron	chr7	016243547	016244121	uc009fhk.2	Gpr77	-	+0320	Mus musculus G protein-coupled receptor 77 (Gpr77), transcript variant 1, mRNA.	NA	NA
5'UTR	chr7	016272934	016273916	uc012fag.1	Prr24	-	+0267	Mus musculus proline rich 24 (Prr24), mRNA.	NA	NA
Intron	chr7	016285620	016285973	uc009fhm.2	Ccdc9	-	+0999	Mus musculus coiled-coil domain containing 9 (Ccdc9), transcript variant 1, mRNA.	NA	NA
Upstream	chr7	016286390	016287293	uc009fhm.2	Ccdc9	-	-0046	Mus musculus coiled-coil domain containing 9 (Ccdc9), transcript variant 1, mRNA.	NA	NA
Upstream	chr7	016287712	016288414	uc009fhm.2	Ccdc9	-	-1268	Mus musculus coiled-coil domain containing 9 (Ccdc9), transcript variant 1, mRNA.	NA	NA
Intron	chr7	016308103	016315949	uc009fho.2	Bbc3	+	+2444	Mus musculus BCL2 binding component 3 (Bbc3), nuclear gene encoding mitochondrial protein, mRNA.	NA	NA
Intron	chr7	016320757	016321365	uc009fhp.1	Sae1	-	+66724	Mus musculus SUMO1 activating enzyme subunit 1 (Sae1), mRNA.	NA	NA
Intron	chr7	016325827	016326656	uc009fhp.1	Sae1	-	+61544	Mus musculus SUMO1 activating enzyme subunit 1 (Sae1), mRNA.	NA	NA
Intron	chr7	016363880	016371482	uc009fhp.1	Sae1	-	+20104	Mus musculus SUMO1 activating enzyme subunit 1 (Sae1), mRNA.	NA	NA
Intron	chr7	016363880	016371482	uc009fhp.1	Sae1	-	+20104	Mus musculus SUMO1 activating enzyme subunit 1 (Sae1), mRNA.	NA	NA
Intron	chr7	016387489	016387772	uc009fhp.1	Sae1	-	+0155	Mus musculus SUMO1 activating enzyme subunit 1 (Sae1), mRNA.	NA	NA
Upstream	chr7	016397403	016397968	uc012fah.1	Zc3h4	+	-3510	Mus musculus zinc finger CCCH-type containing 4 (Zc3h4), mRNA.	NA	NA
Intron	chr7	016398739	016407124	uc012fah.1	Zc3h4	+	+1736	Mus musculus zinc finger CCCH-type containing 4 (Zc3h4), mRNA.	NA	NA
Intron	chr7	016398739	016407124	uc012fah.1	Zc3h4	+	+1736	Mus musculus zinc finger CCCH-type containing 4 (Zc3h4), mRNA.	NA	NA
Intron	chr7	016414382	016423307	uc012fah.1	Zc3h4	+	+17649	Mus musculus zinc finger CCCH-type containing 4 (Zc3h4), mRNA.	NA	NA
Intron	chr7	016424026	016425738	uc012fah.1	Zc3h4	+	+23687	Mus musculus zinc finger CCCH-type containing 4 (Zc3h4), mRNA.	NA	NA
Exon/CD	chr7	016452942	016453251	uc009fhu.1	Tmem160	+	+0318	Mus musculus transmembrane protein 160 (Tmem160), mRNA.	NA	NA
Intron	chr7	016503261	016506034	uc009fhw.1	Grlf1	-	+110346	Mus musculus glucocorticoid receptor DNA binding factor 1 (Grlf1), mRNA.	NA	NA
Intron	chr7	016580910	016584180	uc009fhw.1	Grlf1	-	+32448	Mus musculus glucocorticoid receptor DNA binding factor 1 (Grlf1), mRNA.	NA	NA
5'UTR	chr7	016613847	016615268	uc009fhw.1	Grlf1	-	+0436	Mus musculus glucocorticoid receptor DNA binding factor 1 (Grlf1), mRNA.	NA	NA
Upstream	chr7	016617882	016619059	uc009fhw.1	Grlf1	-	-3477	Mus musculus glucocorticoid receptor DNA binding factor 1 (Grlf1), mRNA.	NA	NA
Intron	chr7	016738349	016739536	uc012faj.1	Ap2s1	+	+0499	Mus musculus adaptor-related protein complex 2, sigma 1 subunit (Ap2s1), mRNA.	NA	NA
Intron	chr7	016739858	016740145	uc012faj.1	Ap2s1	+	+1558	Mus musculus adaptor-related protein complex 2, sigma 1 subunit (Ap2s1), mRNA.	NA	NA
Intron	chr7	016816034	016817292	uc009fie.2	Strn4	+	+0775	Mus musculus striatin, calmodulin binding protein 4 (Strn4), transcript variant 2, mRNA.	NA	NA
Intron	chr7	016829832	016830433	uc009fie.2	Strn4	+	+14244	Mus musculus striatin, calmodulin binding protein 4 (Strn4), transcript variant 2, mRNA.	NA	NA
Exon/CD	chr7	016830765	016831390	uc009fie.2	Strn4	+	+15189	Mus musculus striatin, calmodulin binding protein 4 (Strn4), transcript variant 2, mRNA.	NA	NA
Intron	chr7	016841715	016846096	uc009fig.2	Prkd2	+	+1004	Mus musculus protein kinase D2 (Prkd2), transcript variant 2, mRNA.	NA	NA
Intron	chr7	016850423	016851108	uc009fig.2	Prkd2	+	+7864	Mus musculus protein kinase D2 (Prkd2), transcript variant 2, mRNA.	NA	NA
Intron	chr7	016851510	016852417	uc009fig.2	Prkd2	+	+9062	Mus musculus protein kinase D2 (Prkd2), transcript variant 2, mRNA.	NA	NA
Upstream	chr7	016874419	016874875	uc009fij.1	Dact3	+	-0669	Mus musculus dapper homolog 3, antagonist of beta-catenin (xenopus) (Dact3), mRNA.	NA	NA
Upstream	chr7	016923179	016924916	uc009fin.1	Calm3	-	-0015	Mus musculus calmodulin 3 (Calm3), mRNA.	NA	NA
Downstream	chr7	017002799	017004862	uc009fiq.2	Ppp5c	-	+24084	Mus musculus protein phosphatase 5, catalytic subunit (Ppp5c), mRNA.	NA	NA
Intron	chr7	017017744	017018505	uc009fiq.2	Ppp5c	-	+9790	Mus musculus protein phosphatase 5, catalytic subunit (Ppp5c), mRNA.	NA	NA
Intron	chr7	017023697	017025717	uc009fiq.2	Ppp5c	-	+3207	Mus musculus protein phosphatase 5, catalytic subunit (Ppp5c), mRNA.	NA	NA
Upstream	chr7	017026889	017029323	uc009fiq.2	Ppp5c	-	-0192	Mus musculus protein phosphatase 5, catalytic subunit (Ppp5c), mRNA.	NA	NA
Intron	chr7	017058020	017058960	uc009fis.2	Hif3a	-	+3937	Mus musculus hypoxia inducible factor 3, alpha subunit (Hif3a), transcript variant 1, mRNA.	NA	NA
Intron	chr7	018839946	018841246	uc012fat.1	Mill2	+	+0631	Mus musculus MHC I like leukocyte 2 (Mill2), transcript variant 1, mRNA.	NA	NA
5'UTR	chr7	018909969	018910402	uc009fjw.1	Ccdc61	-	+0219	Mus musculus coiled-coil domain containing 61 (Ccdc61), mRNA.	NA	NA
Intron	chr7	018926079	018926500	uc012fau.1	Nova2	+	+0402	Mus musculus neuro-oncological ventral antigen 2 (Nova2), mRNA.	NA	NA
Intron	chr7	018926806	018928522	uc012fau.1	Nova2	+	+1777	Mus musculus neuro-oncological ventral antigen 2 (Nova2), mRNA.	NA	NA
Intron	chr7	018926806	018928522	uc012fau.1	Nova2	+	+1777	Mus musculus neuro-oncological ventral antigen 2 (Nova2), mRNA.	NA	NA
Intron	chr7	018926806	018928522	uc012fau.1	Nova2	+	+1777	Mus musculus neuro-oncological ventral antigen 2 (Nova2), mRNA.	NA	NA
Exon/CD	chr7	018957822	018958391	uc012fau.1	Nova2	+	+32219	Mus musculus neuro-oncological ventral antigen 2 (Nova2), mRNA.	NA	NA
Exon/CD	chr7	019000591	019001692	uc009fka.2	Mypop	+	+9897	Mus musculus Myb-related transcription factor, partner of profilin (Mypop), mRNA.	NA	NA
Exon/CD	chr7	019003837	019005102	uc009fkc.1	Irf2bp1	+	+0405	Mus musculus interferon regulatory factor 2 binding protein 1 (Irf2bp1), mRNA.	NA	NA
Intron	chr7	019014244	019017295	uc009fkd.1	Foxa3	-	+7770	Mus musculus forkhead box A3 (Foxa3), mRNA.	NA	NA
Intron	chr7	019018641	019018925	uc009fkd.1	Foxa3	-	+4756	Mus musculus forkhead box A3 (Foxa3), mRNA.	NA	NA
Intron	chr7	019019282	019023560	uc009fkd.1	Foxa3	-	+2118	Mus musculus forkhead box A3 (Foxa3), mRNA.	NA	NA
5'UTR	chr7	019023878	019025047	uc009fkh.2	Sympk	+	+0086	Mus musculus symplekin (Sympk), mRNA.	NA	NA
Exon/CD	chr7	019075682	019077133	uc012fax.1	Dmwd	+	+0208	Mus musculus dystrophia myotonica-containing WD repeat motif (Dmwd), mRNA.	NA	NA
Intron	chr7	019083326	019086074	uc009fko.2	Dmpk	+	+0852	Mus musculus dystrophia myotonica-protein kinase (Dmpk), transcript variant 2, mRNA.	NA	NA
Exon/CD	chr7	019094202	019095451	uc009fkr.1	Six5	+	+0283	Mus musculus sine oculis-related homeobox 5 (Six5), mRNA.	NA	NA
Intron	chr7	019119854	019120155	uc009fkt.2	Fbxo46	+	+0146	Mus musculus F-box protein 46 (Fbxo46), mRNA.	NA	NA
Exon/CD	chr7	019148798	019149234	uc009fku.1	Qpctl	-	+0180	Mus musculus glutaminyl-peptide cyclotransferase-like (Qpctl), mRNA.	NA	NA
Intron	chr7	019149891	019150091	uc009fkv.1	Snrpd2	+	+0154	Mus musculus small nuclear ribonucleoprotein D2 (Snrpd2), mRNA.	NA	NA
Intron	chr7	019227207	019233249	uc009flc.1	Opa3	+	+1840	Mus musculus optic atrophy 3 (Opa3), nuclear gene encoding mitochondrial protein, mRNA.	NA	NA
Intron	chr7	019233737	019236667	uc009flc.1	Opa3	+	+6814	Mus musculus optic atrophy 3 (Opa3), nuclear gene encoding mitochondrial protein, mRNA.	NA	NA
Intron	chr7	019268900	019272999	uc009fle.2	Vasp	-	+0905	Mus musculus vasodilator-stimulated phosphoprotein (Vasp), mRNA.	NA	NA
Intron	chr7	019308230	019309027	uc009flk.1	Fosb	-	+1417	Mus musculus FBJ osteosarcoma oncogene B (Fosb), mRNA.	NA	NA
Upstream	chr7	019310114	019310681	uc009flk.1	Fosb	-	-0352	Mus musculus FBJ osteosarcoma oncogene B (Fosb), mRNA.	NA	NA
Intron	chr7	019345056	019345384	uc009flm.2	Ercc1	+	+0150	Mus musculus excision repair cross-complementing rodent repair deficiency, complementation group 1 (Ercc1), transcript variant 1, mRNA.	NA	NA
Upstream	chr7	019359425	019360406	uc009fln.2	Cd3eap	-	-0432	Mus musculus CD3E antigen, epsilon polypeptide associated protein (Cd3eap), mRNA.	NA	NA
Upstream	chr7	019360750	019361009	uc009flo.1	Ppp1r13l	+	-0336	Mus musculus protein phosphatase 1, regulatory (inhibitor) subunit 13 like (Ppp1r13l), mRNA.	NA	NA
Intron	chr7	019361341	019361711	uc009flo.1	Ppp1r13l	+	+0311	Mus musculus protein phosphatase 1, regulatory (inhibitor) subunit 13 like (Ppp1r13l), mRNA.	NA	NA
Exon/CD	chr7	019382078	019382647	uc009flq.1	Ercc2	+	+0324	Mus musculus excision repair cross-complementing rodent repair deficiency, complementation group 2 (Ercc2), mRNA.	NA	NA
Intron	chr7	019457689	019459175	uc009fly.1	Mark4	-	+0062	Mus musculus MAP/microtubule affinity-regulating kinase 4 (Mark4), mRNA.	NA	NA
Upstream	chr7	019462879	019463639	uc009fly.1	Mark4	-	-4765	Mus musculus MAP/microtubule affinity-regulating kinase 4 (Mark4), mRNA.	NA	NA
3'UTR	chr7	019495192	019495668	uc009flz.1	Exoc3l2	+	+5826	SubName: Full=Putative uncharacterized protein;	NA	NA
Upstream	chr7	019507976	019509068	uc009fma.1	Bloc1s3	-	-0191	Mus musculus biogenesis of lysosome-related organelles complex-1, subunit 3 (Bloc1s3), mRNA.	NA	NA
Exon/CD	chr7	019560263	019563469	uc009fmh.1	Ppp1r37	-	+0532	Mus musculus protein phosphatase 1, regulatory subunit 37 (Ppp1r37), mRNA.	NA	NA
Intron	chr7	019572380	019574077	uc009fmi.1	Gemin7	-	+0115	Mus musculus gem (nuclear organelle) associated protein 7 (Gemin7), mRNA.	NA	NA
5'UTR	chr7	019604028	019604832	uc009fml.1	Clasrp	-	+0038	Mus musculus CLK4-associating serine/arginine rich protein (Clasrp), transcript variant L, mRNA.	NA	NA
Intron	chr7	019628077	019629732	uc009fmo.1	Relb	-	+0534	Mus musculus avian reticuloendotheliosis viral (v-rel) oncogene related B (Relb), mRNA.	NA	NA
Upstream	chr7	019664547	019666494	uc009fmq.1	Clptm1	-	-0490	Mus musculus cleft lip and palate associated transmembrane protein 1 (Clptm1), mRNA.	NA	NA
Downstream	chr7	019674584	019703612	uc009fmw.2	Apoc1	-	+3560	Mus musculus apolipoprotein C-I (Apoc1), transcript variant 2, mRNA.	NA	NA
Exon/CD	chr7	019714705	019715459	uc009fna.2	Tomm40	-	+0347	Mus musculus translocase of outer mitochondrial membrane 40 homolog (yeast) (Tomm40), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	NA	NA
